match_no,innings,bowling_team,player,overs,runs,wickets,wides,noballs
1,1,RCB,Jacob Duffy,4,22,3,1,0
1,1,RCB,Abhinandan Singh,2,24,1,2,0
1,1,RCB,Bhuvneshwar Kumar,4,28,1,2,0
1,1,RCB,Suyash Sharma,4,45,1,2,0
1,1,RCB,Romario Shepherd,4,54,3,2,1
1,1,RCB,Krunal Pandya,2,28,0,1,1
1,2,SRH,Nitish K Reddy,2,19,0,1,0
1,2,SRH,Jaydev Unadkat,3,29,1,2,0
1,2,SRH,David Payne,3,35,2,1,0
1,2,SRH,Harsh Dubey,3,35,1,1,0
1,2,SRH,Eshan Malinga,2,35,0,2,0
1,2,SRH,Harshal Patel,2.4,39,0,0,0
2,1,MI,Trent Boult,4,38,0,2,0
2,1,MI,Hardik Pandya,3,39,1,1,0
2,1,MI,AM Ghazanfar,4,51,0,2,0
2,1,MI,Jasprit Bumrah,4,35,0,0,1
2,1,MI,Shardul Thakur,4,39,3,2,0
2,1,MI,Mayank Markande,1,16,0,0,0
2,2,KKR,Vaibhav Arora,4,52,1,1,0
2,2,KKR,Blessing Muzarabani,3,34,0,0,0
2,2,KKR,Varun Chakaravarthy,4,48,0,1,0
2,2,KKR,Kartik Tyagi,4,43,1,1,1
2,2,KKR,Sunil Narine,3,30,1,0,0
2,2,KKR,Anukul Roy,1.1,15,0,0,0
