match_no,innings,over,runs,wickets
1,1,1,7,0
1,1,2,10,0
1,1,3,6,2
1,1,4,6,0
1,1,5,4,1
1,1,6,16,0
1,1,7,5,0
1,1,8,16,0
1,1,9,9,0
1,1,10,8,0
1,1,11,5,0
1,1,12,13,0
1,1,13,21,0
1,1,14,9,1
1,1,15,7,1
1,1,16,13,1
1,1,17,12,1
1,1,18,8,1
1,1,19,17,1
1,1,20,9,0
1,2,1,9,0
1,2,2,12,1
1,2,3,12,0
1,2,4,18,0
1,2,5,16,0
1,2,6,9,0
1,2,7,13,0
1,2,8,10,0
1,2,9,12,1
1,2,10,15,0
1,2,11,14,0
1,2,12,22,0
1,2,13,2,2
1,2,14,6,0
1,2,15,15,0
1,2,16,18,0
2,1,1,10,0
2,1,2,4,0
2,1,3,17,0
2,1,4,26,0
2,1,5,11,0
2,1,6,10,1
2,1,7,16,0
2,1,8,7,0
2,1,9,9,1
2,1,10,10,0
2,1,11,11,0
2,1,12,5,0
2,1,13,8,0
2,1,14,6,1
2,1,15,17,0
2,1,16,10,0
2,1,17,14,0
2,1,18,8,0
2,1,19,10,1
2,1,20,11,0
2,2,1,6,0
2,2,2,9,0
2,2,3,19,0
2,2,4,15,0
2,2,5,15,0
2,2,6,16,0
2,2,7,8,0
2,2,8,8,0
2,2,9,14,0
2,2,10,12,0
2,2,11,13,0
2,2,12,17,1
2,2,13,11,0
2,2,14,12,0
2,2,15,8,1
2,2,16,10,1
2,2,17,8,0
2,2,18,11,0
2,2,19,8,1
2,2,20,4,0
3,1,1,7,0
3,1,2,7,1
3,1,3,5,1
3,1,4,11,1
3,1,5,6,0
3,1,6,5,1
3,1,7,10,0
3,1,8,6,2
3,1,9,5,0
3,1,10,8,0
3,1,11,4,1
3,1,12,5,0
3,1,13,3,1
3,1,14,4,0
3,1,15,7,0
3,1,16,1,1
3,1,17,5,0
3,1,18,9,0
3,1,19,10,0
3,1,20,9,1
3,2,1,18,0
3,2,2,6,0
3,2,3,10,0
3,2,4,6,0
3,2,5,15,0
3,2,6,19,0
3,2,7,3,1
3,2,8,14,0
3,2,9,9,1
3,2,10,6,0
3,2,11,9,0
3,2,12,12,0
