no,date,d,t1,t2,time,venue,completed,result,t1score,t1ov,t2score,t2ov,nr,pom,toss,inn1_team,inn2_team,stage
1,"Sat, Mar 28",Mar 28,RCB,SRH,7:30 PM,"M Chinnaswamy Stadium, Bengaluru",True,RCB won by 6 wickets,203/4,15.4,201/9,20,False,Jacob Duffy,"RCB won toss, elected to field",SRH,RCB,
2,"Sun, Mar 29",Mar 29,MI,KKR,7:30 PM,"Wankhede Stadium, Mumbai",True,MI won by 6 wickets,224/4,19.1,220/4,20,False,Shardul Thakur,"MI won toss, elected to field",KKR,MI,
3,"Mon, Mar 30",Mar 30,RR,CSK,7:30 PM,"Barsapara Cricket Stadium, Guwahati",True,RR won by 8 wickets,128/2,12.1,127/10,19.4,False,Nandre Burger,"RR won toss, elected to field",CSK,RR,
4,"Tue, Mar 31",Mar 31,PBKS,GT,7:30 PM,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",True,PBKS won by 3 wickets,165/7,19.1,162/6,20,False,Cooper Connolly,"PBKS won toss, elected to field",GT,PBKS,
5,"Wed, Apr 1",Apr 1,LSG,DC,7:30 PM,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",True,DC won by 6 wickets,141/10,18.4,145/4,17.1,False,Sameer Rizvi,"DC won toss, elected to field",LSG,DC,
6,"Thu, Apr 2",Apr 2,KKR,SRH,7:30 PM,"Eden Gardens, Kolkata",True,SRH won by 65 runs,161/10,16,226/8,20,False,Nitish Kumar Reddy,"KKR won toss, elected to field",SRH,KKR,
7,"Fri, Apr 3",Apr 3,CSK,PBKS,7:30 PM,"MA Chidambaram Stadium, Chepauk, Chennai",True,PBKS won by 5 wickets,209/5,20,210/5,18.4,False,Priyansh Arya,"PBKS won toss, elected to field",CSK,PBKS,
8,"Sat, Apr 4",Apr 4,DC,MI,3:30 PM,"Arun Jaitley Stadium, Delhi",True,DC won by 6 wickets,164/4,18.1,162/6,20,False,Sameer Rizvi,"DC won toss, elected to field",MI,DC,
9,"Sat, Apr 4",Apr 4,GT,RR,7:30 PM,"Narendra Modi Stadium, Ahmedabad",True,RR won by 6 runs,204/8,20,210/6,20,False,Ravi Bishnoi,"RR won toss, elected to bat",RR,GT,
10,"Sun, Apr 5",Apr 5,SRH,LSG,3:30 PM,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",True,LSG won by 5 wickets,156/9,20,160/5,19.5,False,Mohammed Shami,"LSG won toss, elected to field",SRH,LSG,
